"ID","Alg","n","Scheduling_route","T_k","TC_k","Obj"
"54","DRL-MA","3","R1: 0-12-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-4-1-2-3-30-31-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-6-0","978.639 / 710.060 / 959.428","76.349 / 57.535 / 89.833","612.081 / 223.717 / 268.579"
"55","DRL-MA","3","R1: 0-13-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-5-4-1-2-3-30-31-32-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-12-6-0","971.876 / 709.631 / 967.704","76.087 / 57.532 / 90.099","612.663 / 223.718 / 262.246"
"56","DRL-MA","3","R1: 0-13-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-5-4-1-2-3-32-30-31-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-12-6-0","971.876 / 712.768 / 967.704","76.087 / 57.553 / 90.099","616.271 / 223.739 / 259.109"
"57","DRL-MA","3","R1: 0-12-20-21-22-24-25-26-27-28-23-6-0 | R2: 0-1-2-3-29-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-0","985.023 / 801.090 / 868.436","76.822 / 64.844 / 82.127","622.933 / 223.794 / 183.933"
"58","DRL-MA","3","R1: 0-6-20-21-22-24-25-26-27-28-23-0 | R2: 0-1-2-3-29-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-0","933.311 / 801.090 / 920.023","70.290 / 64.844 / 88.661","622.976 / 223.795 / 132.221"
"59","DRL-MA","3","R1: 0-12-14-20-21-22-24-25-26-27-28-23-0 | R2: 0-1-2-3-29-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-13-6-0","928.959 / 801.090 / 926.209","75.089 / 64.844 / 83.866","624.295 / 223.799 / 127.869"
"60","DRL-MA","3","R1: 0-12-14-20-21-22-24-25-26-27-28-23-0 | R2: 0-5-4-1-2-3-29-30-31-32-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-13-6-0","928.959 / 802.627 / 926.209","75.089 / 64.854 / 83.866","626.063 / 223.809 / 126.332"
"61","DRL-MA","3","R1: 0-12-20-21-22-24-25-26-27-23-6-0 | R2: 0-1-2-3-29-28-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-0","914.836 / 878.891 / 868.436","69.987 / 71.762 / 82.127","634.950 / 223.877 / 46.400"
"62","DRL-MA","3","R1: 0-14-20-21-22-24-25-26-27-23-6-0 | R2: 0-1-2-3-29-28-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-13-12-0","897.823 / 878.891 / 886.805","69.424 / 71.762 / 82.694","635.917 / 223.880 / 18.932"
"63","DRL-MA","3","R1: 0-14-20-21-22-24-25-26-27-23-6-0 | R2: 0-5-4-1-2-3-29-28-30-31-32-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-13-12-0","897.823 / 880.429 / 886.805","69.424 / 71.772 / 82.694","637.685 / 223.890 / 17.395"
"64","DRL-MA","3","R1: 0-14-20-21-22-24-25-26-27-23-6-0 | R2: 0-4-1-2-3-29-28-30-31-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-13-12-0","897.823 / 880.857 / 886.805","69.424 / 71.775 / 82.694","638.178 / 223.893 / 16.966"
"65","DRL-MA","3","R1: 0-7-8-14-21-22-25-26-24-23-5-0 | R2: 0-1-2-3-29-28-27-30-31-32-4-0 | R3: 0-9-10-11-15-16-17-18-19-20-13-12-6-0","903.570 / 904.144 / 896.189","69.391 / 72.233 / 82.483","678.452 / 224.106 / 7.955"
"66","NSGAII-Q","3","R1: 0-8-6-9-10-11-15-16-17-18-19-14-0 | R2: 0-1-2-3-31-30-29-28-27-26-25-0 | R3: 0-7-12-13-23-24-22-21-20-32-4-5-0","903.271 / 905.694 / 910.259","75.532 / 71.659 / 77.130","707.683 / 224.320 / 6.988"
"67","NSGAII-Q","3","R1: 0-6-10-8-9-11-15-16-17-18-19-14-0 | R2: 0-1-2-3-31-30-29-28-27-26-25-0 | R3: 0-7-12-13-23-24-22-21-20-32-4-5-0","911.123 / 905.694 / 910.259","75.559 / 71.659 / 77.130","714.200 / 224.347 / 5.429"
"68","Q_DPIG","3","R1: 0-6-8-15-17-23-16-11-10-9-7-0 | R2: 0-32-31-30-20-21-22-18-19-14-13-12-0 | R3: 0-24-25-26-27-28-29-3-2-1-4-5-0","918.722 / 923.022 / 917.651","69.284 / 78.387 / 76.689","731.338 / 224.360 / 5.371"
"69","Q_DPIG","3","R1: 0-7-8-13-14-22-21-20-29-4-12-0 | R2: 0-6-23-24-25-26-27-28-30-31-32-5-0 | R3: 0-9-10-11-15-16-17-18-19-3-2-1-0","921.145 / 923.829 / 919.046","69.292 / 78.205 / 76.891","736.343 / 224.388 / 4.783"
"70","NSGAII-Q","3","R1: 0-7-8-9-10-11-15-16-17-18-19-14-13-0 | R2: 0-1-2-4-31-30-29-28-27-26-25-0 | R3: 0-3-32-5-6-12-20-21-22-24-23-0","917.363 / 917.686 / 921.771","81.908 / 71.995 / 70.722","757.332 / 224.626 / 4.408"
"71","Q-MA","3","R1: 0-8-16-17-18-19-24-28-31-4-5-0 | R2: 0-1-2-3-30-23-20-14-13-12-10-7-0 | R3: 0-6-32-29-27-26-25-22-21-15-9-11-0","938.535 / 937.165 / 934.251","69.883 / 78.130 / 76.665","788.030 / 224.680 / 4.280"
"72","Q-MA","3","R1: 0-8-16-17-18-19-24-28-31-4-5-0 | R2: 0-1-2-3-30-23-20-14-13-12-10-7-0 | R3: 0-6-32-29-27-26-25-22-21-11-15-9-0","938.535 / 937.165 / 934.944","69.883 / 78.130 / 76.669","788.770 / 224.680 / 3.590"
"73","Q-MA","3","R1: 0-8-16-17-18-19-24-28-31-4-5-0 | R2: 0-1-2-3-30-23-20-14-13-12-10-7-0 | R3: 0-6-32-29-25-26-27-22-21-15-11-9-0","938.535 / 937.165 / 935.829","69.883 / 78.130 / 76.674","789.730 / 224.690 / 2.710"
"74","NSGAII-Q","3","R1: 0-7-8-9-10-11-15-16-17-18-19-6-0 | R2: 0-31-30-1-2-3-29-28-27-26-25-0 | R3: 0-23-24-22-21-20-4-32-13-14-5-12-0","933.064 / 934.101 / 932.340","77.387 / 71.846 / 75.663","805.426 / 224.897 / 1.761"
"75","NSGAII-Q","3","R1: 0-7-8-9-10-11-15-16-17-18-19-6-0 | R2: 0-31-30-1-2-3-29-28-27-26-25-0 | R3: 0-4-32-13-14-5-12-20-21-22-24-23-0","933.064 / 934.101 / 932.524","77.387 / 71.846 / 75.664","805.625 / 224.898 / 1.576"
"76","Q-ABC-K","3","R1: 0-1-2-3-24-22-21-20-11-10-6-0 | R2: 0-32-31-30-23-26-25-18-8-9-7-0 | R3: 0-5-4-29-28-15-16-17-19-27-14-13-12-0","974.909 / 973.965 / 973.587","70.699 / 73.724 / 80.904","908.468 / 225.326 / 1.322"
"77","NSGAII-Q","3","R1: 0-6-7-8-9-10-11-14-16-20-21-30-0 | R2: 0-1-2-3-31-29-28-27-26-18-25-0 | R3: 0-12-24-22-32-4-5-13-15-17-19-23-0","1004.097 / 1003.047 / 1003.961","76.755 / 72.793 / 76.371","1011.303 / 225.920 / 1.050"
"78","Q-ABC-K","3","R1: 0-20-21-32-2-3-25-22-14-12-6-0 | R2: 0-9-10-8-1-26-24-23-18-30-31-0 | R3: 0-11-7-13-5-4-29-28-27-19-17-16-15-0","1030.144 / 1029.818 / 1029.698","70.199 / 73.181 / 82.802","1075.374 / 226.182 / 0.446"
"79","Q-ABC-K","3","R1: 0-6-12-11-32-2-3-25-22-21-20-0 | R2: 0-9-10-8-1-31-30-18-23-24-26-0 | R3: 0-7-15-17-5-4-29-28-27-19-16-13-14-0","1031.845 / 1031.437 / 1031.505","70.682 / 73.192 / 82.377","1085.099 / 226.252 / 0.409"
"80","Q-ABC-K","3","R1: 0-20-21-22-25-3-2-32-11-12-6-0 | R2: 0-9-10-8-1-31-30-18-23-26-24-0 | R3: 0-7-15-17-5-4-29-28-27-19-16-13-14-0","1031.845 / 1031.905 / 1031.505","70.682 / 73.195 / 82.377","1085.638 / 226.255 / 0.400"
"81","Q-ABC-K","3","R1: 0-20-21-22-25-3-2-32-11-12-6-0 | R2: 0-9-10-8-1-31-30-18-23-26-24-0 | R3: 0-5-4-29-28-15-17-16-19-27-14-13-7-0","1031.845 / 1031.905 / 1031.620","70.682 / 73.195 / 82.378","1085.762 / 226.255 / 0.285"
"82","Q-ABC-K","3","R1: 0-20-21-22-25-3-2-32-11-12-6-0 | R2: 0-8-10-9-1-26-24-23-18-30-31-0 | R3: 0-7-13-17-5-4-29-28-27-19-16-15-14-0","1031.845 / 1031.752 / 1031.944","70.682 / 73.194 / 82.380","1085.935 / 226.256 / 0.192"
"83","Q-ABC-K","3","R1: 0-20-21-22-25-3-2-32-11-12-6-0 | R2: 0-9-10-8-1-31-30-18-23-26-24-0 | R3: 0-7-13-17-5-4-29-28-27-19-16-15-14-0","1031.845 / 1031.905 / 1031.944","70.682 / 73.195 / 82.380","1086.112 / 226.257 / 0.098"
